FID,GSS_CD,City,07-Mar,08-Mar,09-Mar,10-Mar,11-Mar,13-Mar,14-Mar,15-Mar,Number of confirmed cases,Country
82.0,E06000012,North East Lincolnshire,0,0,0,0,0,0,0,0,0.0,England
83.0,E06000013,North Lincolnshire,0,0,0,0,0,1,1,2,1.0,England
84.0,E06000024,North Somerset,0,0,0,1,4,0,0,0,2.0,England
85.0,E08000022,North Tyneside,1,1,1,1,1,3,2,2,3.0,England
86.0,E10000023,North Yorkshire,0,0,0,0,0,4,2,7,6.0,England
87.0,E10000021,Northamptonshire,2,4,4,5,1,6,8,9,12.0,England
88.0,E06000057,Northumberland,0,0,0,0,5,0,0,0,0.0,England
89.0,E06000018,Nottingham,2,2,2,2,0,5,5,5,10.0,England
90.0,E10000024,Nottinghamshire,3,3,5,5,0,6,6,6,14.0,England
91.0,E08000004,Oldham,2,2,4,4,1,6,6,6,10.0,England
92.0,E10000025,Oxfordshire,4,5,5,7,8,22,21,24,23.0,England
93.0,E06000031,Peterborough,1,1,1,1,0,1,1,1,1.0,England
94.0,E06000026,Plymouth,0,0,0,0,3,1,1,2,2.0,England
95.0,E06000044,Portsmouth,0,0,0,0,2,0,1,1,1.0,England
96.0,E06000038,Reading,0,0,0,0,7,3,3,3,3.0,England
97.0,E09000026,Redbridge,1,1,1,1,1,1,1,1,2.0,England
98.0,E06000003,Redcar and Cleveland,0,0,0,0,5,0,1,1,0.0,England
99.0,E09000027,Richmond upon Thames,0,0,0,1,1,1,2,2,2.0,England
100.0,E08000005,Rochdale,0,0,0,0,1,2,2,2,4.0,England
101.0,E08000018,Rotherham,0,0,0,1,4,1,2,2,2.0,England
102.0,E06000017,Rutland,0,0,0,0,3,0,0,0,0.0,England
103.0,E08000006,Salford,0,0,0,0,1,0,0,1,1.0,England
104.0,E08000028,Sandwell,0,0,0,0,1,0,0,1,4.0,England
105.0,E08000014,Sefton,0,0,0,0,2,1,1,1,1.0,England
106.0,E08000019,Sheffield,0,0,0,0,3,3,13,12,15.0,England
107.0,E06000051,Shropshire,0,0,0,1,5,3,3,4,2.0,England
108.0,E06000039,Slough,0,0,0,1,1,2,2,3,2.0,England
109.0,E08000029,Solihull,0,0,0,0,15,0,0,0,1.0,England
110.0,E10000027,Somerset,1,2,2,2,1,1,2,2,3.0,England
111.0,E06000025,South Gloucestershire,0,0,0,0,5,1,2,4,5.0,England
112.0,E08000023,South Tyneside,0,0,0,0,3,0,0,0,0.0,England
113.0,E06000045,Southampton,0,0,0,0,2,0,0,1,1.0,England
114.0,E06000033,Southend-on-Sea,1,1,1,1,0,2,2,3,3.0,England
115.0,E09000028,Southwark,1,3,5,8,1,13,28,30,33.0,England
116.0,E08000013,St. Helens,0,0,0,0,1,0,1,1,1.0,England
117.0,E10000028,Staffordshire,4,4,4,4,9,4,4,6,7.0,England
118.0,E08000007,Stockport,0,0,0,0,4,2,3,3,3.0,England
119.0,E06000004,Stockton-on-Tees,0,0,0,0,4,2,2,2,2.0,England
120.0,E06000021,Stoke-on-Trent,0,0,0,0,1,0,0,0,0.0,England
121.0,E10000029,Suffolk,0,0,1,1,3,1,1,3,3.0,England
122.0,E08000024,Sunderland,0,0,1,1,6,1,1,1,1.0,England
123.0,E10000030,Surrey,4,5,6,6,2,16,15,23,25.0,England
124.0,E09000029,Sutton,0,0,1,2,1,6,6,7,11.0,England
125.0,E06000030,Swindon,1,2,2,2,7,2,2,2,2.0,England
126.0,E08000008,Tameside,0,1,1,1,4,1,2,3,3.0,England
127.0,E06000020,Telford and Wrekin,0,0,0,0,13,0,0,0,0.0,England
128.0,E06000034,Thurrock,0,0,0,0,0,0,0,1,1.0,England
129.0,E06000027,Torbay,4,6,7,7,6,7,7,7,7.0,England
130.0,E09000030,Tower Hamlets,0,1,1,4,4,6,8,9,12.0,England
131.0,E08000009,Trafford,4,4,4,4,13,5,7,6,7.0,England
132.0,E08000036,Wakefield,0,0,0,0,18,0,1,2,3.0,England
133.0,E08000030,Walsall,0,0,0,0,5,1,1,5,11.0,England
134.0,E09000031,Waltham Forest,0,0,1,1,5,1,2,2,4.0,England
